name,start,end,type,fmt
MOMGRAD11,390,391,d,N2.
MOMGRAD21,392,393,d,N2.
MOMVOTEC1,394,395,d,N2.
MOMDIPL1,396,397,d,N2.
MOMWORK1,398,399,d,N2.
MOMLEAVE1,400,401,d,N2.
MOMHOURS1,402,403,d,N2.
MOMMTHS1,404,405,d,N2.
MOMLOOK1,406,407,d,N2.
MOMAGN1,408,409,d,N2.
MOMEMPL1,410,411,d,N2.
MOMREL1,412,413,d,N2.
MOMANSAD1,414,415,d,N2.
MOMENROL1,416,417,d,N2.
MOMNEW2,418,419,d,N2.
MOMSTAT2,420,421,d,N2.
MOMLIVW2,422,423,d,N2.
MOMLANG2,424,425,d,N2.
MOMSPEAK2,426,427,d,N2.
MOMBORN2,428,429,d,N2.
MHISPAN2,430,431,d,N2.
MWHITE2,432,433,d,N2.
MBLACK2,434,435,d,N2.
MAMIND2,436,437,d,N2.
MASIAN2,438,439,d,N2.
MPACI2,440,441,d,N2.
MRACEOTH2,442,443,d,N2.
MOMGRADE2,444,445,d,N2.
MOMGRAD12,446,447,d,N2.
MOMGRAD22,448,449,d,N2.
MOMVOTEC2,450,451,d,N2.
MOMDIPL2,452,453,d,N2.
MOMWORK2,454,455,d,N2.
MOMLEAVE2,456,457,d,N2.
MOMHOURS2,458,459,d,N2.
MOMMTHS2,460,461,d,N2.
MOMLOOK2,462,463,d,N2.
MOMAGN2,464,465,d,N2.
MOMEMPL2,466,467,d,N2.
MOMREL2,468,469,d,N2.
MOMANSAD2,470,471,d,N2.
MOMENROL2,472,473,d,N2.
DADSTAT1,474,475,d,N2.
DADLIVW1,476,477,d,N2.
DADLANG1,478,479,d,N2.
DADSPEAK1,480,481,d,N2.
DADBORN1,482,483,d,N2.
DHISPAN1,484,485,d,N2.
DWHITE1,486,487,d,N2.
DBLACK1,488,489,d,N2.
DAMIND1,490,491,d,N2.
DASIAN1,492,493,d,N2.
DPACI1,494,495,d,N2.
DRACEOTH1,496,497,d,N2.
DADGRADE1,498,499,d,N2.
DADGRAD11,500,501,d,N2.
DADGRAD21,502,503,d,N2.
DADVOTEC1,504,505,d,N2.
DADDIPL1,506,507,d,N2.
DADWORK1,508,509,d,N2.
DADLEAVE1,510,511,d,N2.
DADHOURS1,512,513,d,N2.
DADMTHS1,514,515,d,N2.
DADLOOK1,516,517,d,N2.
DADAGN1,518,519,d,N2.
DADEMPL1,520,521,d,N2.
DADREL1,522,523,d,N2.
DADANSAD1,524,525,d,N2.
DADENROL1,526,527,d,N2.
DADSTAT2,528,529,d,N2.
DADLIVW2,530,531,d,N2.
DADLANG2,532,533,d,N2.
DADSPEAK2,534,535,d,N2.
DADBORN2,536,537,d,N2.
DHISPAN2,538,539,d,N2.
DWHITE2,540,541,d,N2.
DBLACK2,542,543,d,N2.
DAMIND2,544,545,d,N2.
DASIAN2,546,547,d,N2.
DPACI2,548,549,d,N2.
DRACEOTH2,550,551,d,N2.
DADGRADE2,552,553,d,N2.
DADGRAD12,554,555,d,N2.
DADGRAD22,556,557,d,N2.
DADVOTEC2,558,559,d,N2.
DADDIPL2,560,561,d,N2.
DADWORK2,562,563,d,N2.
