source_value,harmonised_value,notes
2018 AUS0308,VIC,PISA 2018 stratum: AUS - stratum 08: VIC-Government
2018 AUS0618,WA,PISA 2018 stratum: AUS - stratum 18: WA-Independent
2018 AUS0309,VIC,PISA 2018 stratum: AUS - stratum 09: VIC-Independent
2018 AUS0719,TAS,PISA 2018 stratum: AUS - stratum 19: TAS-Catholic
2022 AUS10,QLD,PISA 2022 stratum: AUS - stratum 10: QLD-Catholic
2022 AUS20,TAS,PISA 2022 stratum: AUS - stratum 20: TAS-Government
2022 AUS01,ACT,PISA 2022 stratum: AUS - stratum 01: ACT-Catholic
2022 AUS11,QLD,PISA 2022 stratum: AUS - stratum 11: QLD-Government
2022 AUS21,TAS,PISA 2022 stratum: AUS - stratum 21: TAS-Independent
2022 AUS02,ACT,PISA 2022 stratum: AUS - stratum 02: ACT-Government
2022 AUS12,QLD,PISA 2022 stratum: AUS - stratum 12: QLD-Independent
2022 AUS22,NT,PISA 2022 stratum: AUS - stratum 22: NT-Catholic
2022 AUS03,ACT,PISA 2022 stratum: AUS - stratum 03: ACT-Independent
2022 AUS13,SA,PISA 2022 stratum: AUS - stratum 13: SA-Catholic
2022 AUS23,NT,PISA 2022 stratum: AUS - stratum 23: NT-Government
2022 AUS04,NSW,PISA 2022 stratum: AUS - stratum 04: NSW-Catholic
2022 AUS14,SA,PISA 2022 stratum: AUS - stratum 14: SA-Government
2022 AUS24,NT,PISA 2022 stratum: AUS - stratum 24: NT-Independent
2022 AUS05,NSW,PISA 2022 stratum: AUS - stratum 05: NSW-Government
2022 AUS15,SA,PISA 2022 stratum: AUS - stratum 15: SA-Independent
2022 AUS06,NSW,PISA 2022 stratum: AUS - stratum 06: NSW-Independent
2022 AUS16,WA,PISA 2022 stratum: AUS - stratum 16: WA-Catholic
2022 AUS07,VIC,PISA 2022 stratum: AUS - stratum 07: VIC-Catholic
2022 AUS17,WA,PISA 2022 stratum: AUS - stratum 17: WA-Government
2022 AUS97,Unknown,PISA 2022 stratum: Undisclosed STRATUM - Australia
2022 AUS08,VIC,PISA 2022 stratum: AUS - stratum 08: VIC-Government
2022 AUS18,WA,PISA 2022 stratum: AUS - stratum 18: WA-Independent
2022 AUS09,VIC,PISA 2022 stratum: AUS - stratum 09: VIC-Independent
2022 AUS19,TAS,PISA 2022 stratum: AUS - stratum 19: TAS-Catholic
2025 AUS10,QLD,PISA 2025 stratum: QLD-Catholic
2025 AUS20,TAS,PISA 2025 stratum: TAS-Government
2025 AUS01,ACT,PISA 2025 stratum: ACT-Catholic
2025 AUS11,QLD,PISA 2025 stratum: QLD-Government
2025 AUS21,TAS,PISA 2025 stratum: TAS-Independent
2025 AUS02,ACT,PISA 2025 stratum: ACT-Government
2025 AUS12,QLD,PISA 2025 stratum: QLD-Independent
2025 AUS22,NT,PISA 2025 stratum: NT-Catholic
2025 AUS03,ACT,PISA 2025 stratum: ACT-Independent
2025 AUS13,SA,PISA 2025 stratum: SA-Catholic
2025 AUS23,NT,PISA 2025 stratum: NT-Government
2025 AUS04,NSW,PISA 2025 stratum: NSW-Catholic
2025 AUS14,SA,PISA 2025 stratum: SA-Government
2025 AUS24,NT,PISA 2025 stratum: NT-Independent
2025 AUS05,NSW,PISA 2025 stratum: NSW-Government
2025 AUS15,SA,PISA 2025 stratum: SA-Independent
2025 AUS06,NSW,PISA 2025 stratum: NSW-Independent
2025 AUS16,WA,PISA 2025 stratum: WA-Catholic
2025 AUS07,VIC,PISA 2025 stratum: VIC-Catholic
2025 AUS17,WA,PISA 2025 stratum: WA-Government
2025 AUS08,VIC,PISA 2025 stratum: VIC-Government
2025 AUS18,WA,PISA 2025 stratum: WA-Independent
2025 AUS09,VIC,PISA 2025 stratum: VIC-Independent
2025 AUS19,TAS,PISA 2025 stratum: TAS-Catholic
