source_value,harmonised_value,notes
Albania,Albania,
Azerbaijan,Azerbaijan,
Austria,Austria,
Armenia,Armenia,
Bulgaria,Bulgaria,
Croatia,Croatia,
Cyprus,Cyprus,
Czechia,Czech Republic,Source label collapsed onto the dataschema country name.
Denmark,Denmark,
Estonia,Estonia,
Faroe Islands,Faroe Islands,
Finland,Finland,
France,France,
Georgia,Georgia,
Germany,Germany,
Greece,Greece,
Greenland,Greenland,
Hungary,Hungary,
Iceland,Iceland,
Ireland,Ireland,
Italy,Italy,
Latvia,Latvia,
Liechtenstein,Liechtenstein,
Lithuania,Lithuania,
Luxemburg,Luxembourg,Source label collapsed onto the dataschema country name.
Malta,Malta,
Monaco,Monaco,
Moldova,Republic of Moldova,Source label collapsed onto the dataschema country name.
Montenegro,Montenegro,
Netherlands,Netherlands,
Belgium Flanders,Belgium,Source label collapsed onto the dataschema country name.
Belgium Wallonia,Belgium,Source label collapsed onto the dataschema country name.
Norway,Norway,
Poland,Poland,
Portugal,Portugal,
Romania,Romania,
Serbia,Serbia,
Bosnia and Herzegovina (FBIH),Bosnia and Herzegovina,Source label collapsed onto the dataschema country name.
Bosnia and Herzegovina (RS),Bosnia and Herzegovina,Source label collapsed onto the dataschema country name.
Slovakia,Slovakia,
Slovenia,Slovenia,
Spain,Spain,
Sweden,Sweden,
Switzerland,Switzerland,
Turkey,Turkey,
Ukraine,Ukraine,
North Macedonia,Macedonia,Source label collapsed onto the dataschema country name.
United Kingdom,United Kingdom,
Isle of Man,Isle of Man,
Kosovo,Kosovo,
Germany (Bavaria),Germany,Source label collapsed onto the dataschema country name.
Germany (excluding Bavaria),Germany,Source label collapsed onto the dataschema country name.
Russian Fed (Moscow),Russia,Source label collapsed onto the dataschema country name.
Russian Fed (excluding Moscow),Russia,Source label collapsed onto the dataschema country name.
